;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;,,,,,,,,,,,
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;,,,,,,,,,,,
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;,,,,,,,,,,,
;;Components used of materials (each product has unique components);;;;;;;;;;;;; Component cost per order, per component ;;;;;;;;;;;;;;;;;;;;;;;,,,,,,,,,,
Running number;Customer id;A;B;C;D;E;F;G;H;I;K;L;;; A ; B ; C ; D ; E ; F ; G ; H ; I ; K ; L ;;;;;;;;;;;;;,,,,,,,,,,,
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;,,,,,,,,,,,
1;105;21;44;0;0;51;0;130;0;23;0;3;;; € 7,58 ; € 4,46 ; € -   ; € -   ; € 9,54 ; € -   ; € 6,97 ; € -   ; € 8,13 ; € -   ; € 7,23 ;;;;;;;;;;;;;,,,,,
2;117;0;0;0;10;27;0;0;17;0;20;9;;; € -   ; € -   ; € -   ; € 3,80 ; € 12,73 ; € -   ; € -   ; € 10,85 ; € -   ; € 7,52 ; € 19,31 ;;;;;;;;;;;;;,,,,,,
3;72;2;0;0;17;53;0;0;0;18;0;0;;; € 7,10 ; € -   ; € -   ; € 10,11 ; € 7,17 ; € -   ; € -   ; € -   ; € 7,02 ; € -   ; € -   ;;;;;;;;;;;;;,,,,,,,
4;65;24;69;97;0;67;90;0;19;0;75;30;;; € 8,96 ; € 2,86 ; € 12,49 ; € -   ; € 6,75 ; € 53,71 ; € -   ; € 8,61 ; € -   ; € 11,52 ; € 16,26 ;;;;;;;;;;;;;,,,
5;50;12;70;73;1;49;0;0;0;27;106;0;;; € 5,36 ; € 5,02 ; € 18,67 ; € 4,34 ; € 12,44 ; € -   ; € -   ; € -   ; € 11,07 ; € 6,54 ; € -   ;;;;;;;;;;;;;,,,,
6;71;5;35;63;6;22;0;0;0;0;0;0;;; € 10,23 ; € 6,48 ; € 6,13 ; € 3,80 ; € 10,90 ; € -   ; € -   ; € -   ; € -   ; € -   ; € -   ;;;;;;;;;;;;;,,,,,,
7;32;22;0;29;1;36;25;94;15;0;23;0;;; € 8,36 ; € -   ; € 14,08 ; € 3,23 ; € 5,66 ; € 41,61 ; € 4,00 ; € 11,98 ; € -   ; € 11,86 ; € -   ;;;;;;;;;;;;;,,,
8;52;4;0;0;9;46;0;0;0;0;54;0;;; € 6,08 ; € -   ; € -   ; € 6,02 ; € 8,48 ; € -   ; € -   ; € -   ; € -   ; € 5,74 ; € -   ;;;;;;;;;;;;;,,,,,,,
9;88;8;16;0;1;31;132;0;38;14;90;16;;; € 17,93 ; € 8,54 ; € -   ; € 1,83 ; € 10,92 ; € 82,06 ; € -   ; € 15,00 ; € 9,62 ; € 5,06 ; € 5,23 ;;;;;;;;;;;;;,,
10;47;50;0;0;0;41;0;34;0;23;27;13;;; € 10,96 ; € -   ; € -   ; € -   ; € 8,68 ; € -   ; € 3,22 ; € -   ; € 10,22 ; € 9,09 ; € 7,63 ;;;;;;;;;;;;;,,,,,
